ano,estado,municipio,produto,area_plantada_ha,producao_toneladas
2006,RS,Silveira de Minas,Feijão,60.43,3925.54
2019,GO,Silva,Soja,459.73,688.11
2014,BA,Almeida,Algodão,972.63,4032.81
2010,GO,da Costa,Feijão,613.07,4739.2
2007,MT,Caldeira,Arroz,463.56,3861.08
2020,SC,Azevedo do Amparo,Café,134.87,814.18
2006,BA,da Conceição,Trigo,800.16,2727.0
2018,MG,Alves de Ribeiro,Milho,,1613.62
2022,PR,Novaes,Soja,451.04,1842.16
2010,BA,Fernandes,Algodão,653.5,2124.87
2010,PR,Araújo de Rezende,Soja,67.95,193.45
2023,MG,Melo,Arroz,767.68,2199.38
2020,RS,da Rocha,Algodão,,2059.9
2003,RS,Barbosa Grande,Arroz,356.79,3552.79
2007,RS,Dias,Algodão,333.17,1902.74
2023,PR,Vieira,Milho,719.29,4428.11
2002,MS,Melo,Algodão,623.52,194.46
2021,MS,Silva,Trigo,534.03,4075.14
2020,MT,Silva,Cana-de-açúcar,399.74,
2001,RS,da Luz,Arroz,568.01,2451.87
2023,SP,Pires da Mata,Arroz,540.86,172.91
2011,RS,Correia,Feijão,906.09,2331.73
2005,SC,Gonçalves,Milho,834.39,2424.53
2001,GO,Monteiro dos Dourados,Trigo,24.56,573.19
2020,SP,Freitas da Praia,Arroz,362.3,3641.32
2000,BA,Novaes,Trigo,951.11,573.23
2011,SP,Fogaça,Café,724.42,1608.22
2021,MG,da Luz,Arroz,485.98,4979.55
2011,RS,da Conceição,Cana-de-açúcar,733.6,3094.3
2016,PR,Azevedo,Algodão,814.43,3726.55
2009,SP,Novaes,Milho,58.77,2138.56
2015,RS,Dias,Cana-de-açúcar,120.87,3038.97
2014,BA,Melo de Carvalho,Arroz,541.12,541.09
2014,MS,Melo de Carvalho,Milho,331.67,659.21
2018,SP,Fernandes,Soja,204.54,1013.67
2011,GO,Teixeira,Milho,,2140.84
2022,MG,Aragão das Flores,Feijão,536.16,840.09
2019,PR,Almeida,Cana-de-açúcar,168.52,4937.04
2002,SP,Azevedo,Feijão,976.87,3684.66
2004,PR,Azevedo do Amparo,Arroz,452.93,4254.01
2018,SP,da Luz,Café,510.85,4737.12
2006,RS,da Paz,Cana-de-açúcar,,4200.55
2020,MT,Rocha,Milho,416.86,460.14
2008,PR,da Mata do Oeste,Café,234.39,
2006,BA,Teixeira,Feijão,380.92,3091.79
2017,MS,Silva,Milho,29.7,1656.27
2003,MT,Souza,Feijão,840.7,4467.08
2013,SP,Moreira,Cana-de-açúcar,940.27,1489.7
2017,SP,Cardoso de Minas,Feijão,235.44,1115.89
2008,RS,Fogaça,Trigo,295.6,2440.11
2020,SP,Alves de Ribeiro,Soja,922.18,3250.22
2001,RS,da Rocha,Cana-de-açúcar,877.79,646.69
2019,SP,da Rocha,Cana-de-açúcar,,1948.14
2014,BA,Araújo de Rezende,Milho,335.43,1172.84
2006,MS,Aragão das Pedras,Cana-de-açúcar,740.92,51.71
2011,MT,da Costa da Prata,Soja,,2291.39
2007,BA,Alves de Ribeiro,Cana-de-açúcar,19.17,2172.71
2014,PR,Rocha,Soja,830.82,1219.03
2002,PA,Vieira,Milho,,4250.94
2013,SC,Peixoto,Arroz,579.4,3530.32
2016,PR,Aragão das Pedras,Cana-de-açúcar,21.07,4207.02
2003,SC,Caldeira,Café,480.29,1638.61
2017,SP,Almeida do Galho,Soja,551.15,3594.95
2007,MT,Cardoso de Minas,Trigo,414.42,546.71
2003,MG,da Luz,Milho,173.99,3416.23
2001,MS,Dias,Arroz,402.92,4233.49
2005,MG,da Mata da Mata,Arroz,599.33,1387.57
2021,SC,Gonçalves,Café,851.82,1661.59
2009,MS,Araújo de Rezende,Café,55.22,3772.26
2003,MG,Gonçalves,Arroz,392.07,2531.25
2021,MG,Silva,Soja,196.39,3162.36
2017,RS,Fernandes,Milho,16.46,3772.0
2011,MT,Nunes,Algodão,360.9,
2001,RS,Vieira,Algodão,307.47,
2009,SP,Cardoso,Soja,763.74,522.23
2003,BA,Correia,Feijão,553.32,344.09
2013,PA,Gonçalves,Arroz,970.09,4248.15
2015,SC,Melo de Carvalho,Feijão,859.36,1476.18
2014,MS,da Mata da Mata,Milho,563.65,692.1
2007,RS,Fogaça,Café,736.15,2292.47
2013,PR,Peixoto,Café,562.64,357.87
2022,PA,Vieira,Café,421.45,3411.52
2007,MT,Nunes,Arroz,734.36,4201.53
2020,SP,Silva,Cana-de-açúcar,19.21,4412.83
2015,SC,Freitas da Praia,Milho,137.63,763.09
2012,MS,Azevedo,Café,114.08,1230.89
2017,MS,Fogaça,Algodão,909.5,2240.57
2014,PA,Caldeira,Café,981.85,
2020,MS,Monteiro dos Dourados,Arroz,879.8,4249.1
2023,MG,Silva,Trigo,286.32,2288.41
2012,MG,Aragão das Pedras,Trigo,644.72,520.84
2008,MG,Monteiro dos Dourados,Arroz,,2140.64
2014,MT,Teixeira,Algodão,30.26,1708.26
2012,PR,Alves de Ribeiro,Trigo,329.41,2536.26
2000,MS,Correia,Arroz,318.39,4500.87
2006,BA,Novaes,Milho,128.87,1740.82
2008,RS,Barbosa Grande,Arroz,295.69,3852.43
2023,MT,Araújo de Rezende,Café,536.19,575.8
2000,MG,Melo,Milho,516.31,3852.99
2011,SP,da Mata da Mata,Algodão,982.64,249.58
2007,MT,Silva,Algodão,860.69,1107.84
2023,MG,Vieira,Trigo,699.37,60.58
2010,SC,Oliveira Paulista,Feijão,439.02,1301.42
2018,RS,das Neves,Trigo,572.1,30.19
2016,SP,Cardoso,Café,119.03,4085.43
2007,PR,Viana do Amparo,Algodão,562.94,1921.98
2002,SP,Silveira de Minas,Milho,47.97,1635.22
2002,SC,Caldeira,Algodão,119.61,
2000,MT,da Mata da Mata,Feijão,62.73,1580.47
2004,PR,Vieira,Feijão,879.66,1461.6
2009,GO,Rocha,Café,47.46,1742.51
2006,SC,Alves de Ribeiro,Milho,208.28,375.4
2008,MS,Melo,Trigo,648.45,2005.45
2006,SP,Freitas da Praia,Arroz,523.36,3584.81
2008,SP,Caldeira,Arroz,100.88,1778.24
2007,MG,Cardoso de Minas,Cana-de-açúcar,124.94,4818.44
2011,PR,Azevedo do Amparo,Arroz,696.31,3736.0
2001,MT,das Neves,Trigo,960.88,3390.69
2000,SC,da Luz,Feijão,,965.3
2015,SC,Cardoso,Cana-de-açúcar,633.59,2426.79
2022,PR,Silveira de Minas,Café,54.74,2162.33
2022,GO,Nunes,Arroz,499.01,661.68
2023,PA,Novaes,Café,70.68,
2004,MT,Teixeira,Soja,501.34,24.92
2002,MS,Fernandes,Arroz,642.24,1527.46
2011,BA,Teixeira,Trigo,821.65,845.48
2007,MS,Silveira de Minas,Cana-de-açúcar,902.39,4218.75
2021,MG,da Luz,Algodão,471.88,2118.45
2002,RS,Cardoso,Milho,585.4,4336.94
2000,MG,Azevedo,Café,637.74,1045.37
2002,SC,Vieira,Soja,936.47,1090.97
2004,MT,Barbosa Grande,Arroz,564.98,3492.39
2014,BA,Pires da Mata,Café,720.24,266.71
2013,PA,Azevedo do Amparo,Arroz,595.76,1680.63
2002,SC,da Rocha,Soja,530.26,4997.58
2000,MG,Correia,Arroz,133.7,2407.54
2004,MG,Silveira de Minas,Café,729.09,2654.41
2022,SC,Pires da Mata,Algodão,78.89,4870.86
2013,SC,Almeida,Algodão,926.39,3788.83
2006,MT,Cardoso,Trigo,835.7,1620.79
2008,SP,Caldeira,Café,935.19,3464.48
2014,GO,da Costa da Prata,Feijão,,3959.84
2014,SC,Azevedo do Amparo,Arroz,458.39,4202.74
2009,SP,Teixeira,Trigo,509.09,2296.97
2012,SC,da Mata do Oeste,Algodão,917.39,4387.78
2018,MS,Almeida do Galho,Café,826.84,4564.9
2006,SC,Araújo de Rezende,Café,,2447.76
2016,SC,das Neves,Arroz,476.39,3075.6
2019,SP,Azevedo do Amparo,Algodão,174.47,4728.17
2003,MS,Fernandes,Trigo,142.88,3128.02
2004,SP,Alves de Ribeiro,Feijão,219.41,2533.69
2022,SC,Silva,Cana-de-açúcar,125.88,4400.5
2006,SP,da Mata do Oeste,Café,,3188.66
2012,SP,da Paz,Trigo,778.57,4151.87
2014,BA,Aragão das Pedras,Algodão,166.13,589.71
2010,PA,Nunes,Soja,700.9,1670.68
2003,RS,Rocha,Algodão,497.22,1687.77
2012,PA,Almeida,Algodão,677.21,3669.84
2006,MS,Monteiro dos Dourados,Soja,659.24,3832.72
2018,BA,Dias,Feijão,559.81,1842.84
2021,PA,Vieira,Soja,760.53,1895.0
2001,PA,da Costa,Trigo,688.74,2787.93
2009,SP,Melo,Trigo,,3117.28
2012,MG,da Paz,Trigo,784.6,3023.23
2020,SP,Almeida do Galho,Trigo,288.58,1918.21
2005,PA,Correia,Feijão,911.9,1514.41
2011,BA,Moreira,Café,997.7,2506.62
2011,SP,Melo,Cana-de-açúcar,789.89,588.79
2019,GO,da Mata da Mata,Cana-de-açúcar,276.55,3246.68
2010,GO,Barbosa Grande,Algodão,130.14,
2022,MG,Teixeira,Milho,530.86,310.65
2006,BA,Moraes Verde,Trigo,996.35,3634.98
2000,SC,Melo,Café,987.95,4301.49
2000,MT,Oliveira Paulista,Arroz,266.83,2047.65
2019,MT,Silva,Algodão,354.02,780.07
2012,MS,Silva,Arroz,50.51,1591.53
2008,SP,Alves de Ribeiro,Algodão,717.33,2960.51
2002,MG,Teixeira,Arroz,821.67,401.58
2006,PA,Melo de Carvalho,Milho,86.55,1448.76
2005,BA,Freitas da Praia,Algodão,380.96,4372.29
2007,SP,Vieira,Cana-de-açúcar,945.49,4595.48
2008,SC,Caldeira,Arroz,818.71,2489.94
2004,MG,da Paz,Café,730.19,329.46
2000,MG,Azevedo,Arroz,684.03,2086.59
2018,SC,Dias,Arroz,154.92,3942.12
2009,BA,Aragão das Pedras,Milho,270.43,1522.01
2011,GO,Azevedo do Amparo,Soja,996.41,1468.68
2023,PR,Pires da Mata,Cana-de-açúcar,362.54,3440.35
2014,PR,Correia,Milho,529.39,3442.25
2021,SC,Silveira de Minas,Soja,513.54,393.5
2023,BA,Azevedo do Amparo,Milho,122.25,2405.93
2008,MT,da Conceição,Algodão,871.77,4315.41
2019,MS,Freitas da Praia,Algodão,503.39,2925.27
2016,GO,Moraes Verde,Feijão,916.17,3749.08
2016,PA,Aragão das Pedras,Arroz,927.01,681.06
2019,RS,Gonçalves,Café,979.46,3845.83
2011,BA,da Rocha,Café,936.3,1720.9
2006,MS,Gomes das Flores,Trigo,837.73,851.08
2001,BA,Moraes Verde,Milho,,2257.18
2002,PA,Almeida,Trigo,122.33,1857.81
2016,MT,da Costa da Prata,Algodão,861.14,3965.04
2004,MT,da Mata da Mata,Algodão,265.13,2701.42
2016,PR,da Luz,Arroz,84.85,1791.28
2023,GO,Freitas da Praia,Soja,544.15,324.7
2016,GO,Fogaça,Algodão,69.87,2701.52
2016,GO,Silva,Cana-de-açúcar,931.79,
2001,MT,Monteiro dos Dourados,Café,116.68,3817.53
2001,SP,Oliveira Paulista,Soja,913.18,1483.43
2021,SP,Alves de Ribeiro,Algodão,650.65,228.93
2022,BA,Peixoto,Café,671.25,3615.28
2004,BA,Cardoso de Minas,Trigo,441.57,453.76
2000,SC,da Costa,Trigo,224.47,824.18
2000,SP,Moreira,Algodão,428.92,1146.48
2018,MT,Vieira,Feijão,191.19,3206.72
2001,RS,Alves de Ribeiro,Trigo,840.24,90.57
2020,MG,Viana do Amparo,Cana-de-açúcar,560.04,2019.8
2011,MG,Souza,Cana-de-açúcar,97.75,4012.51
2005,GO,Teixeira,Algodão,703.48,657.54
2022,GO,Oliveira Paulista,Algodão,677.36,4308.69
2003,BA,da Mata do Oeste,Soja,976.17,785.19
2022,BA,Rocha,Cana-de-açúcar,91.37,2462.04
2010,SC,Freitas da Praia,Algodão,358.57,956.14
2023,BA,Freitas da Praia,Café,984.53,4063.2
2016,SP,Dias,Trigo,119.8,905.93
2005,SC,Rocha,Arroz,746.54,3118.37
2023,SP,Teixeira,Arroz,904.1,1308.86
2004,RS,Freitas,Trigo,538.87,79.79
2019,SC,Gomes das Flores,Algodão,711.37,720.94
2001,MG,da Costa,Feijão,776.84,2390.29
2005,RS,Fernandes,Cana-de-açúcar,347.31,4080.09
2021,PA,da Conceição,Arroz,683.97,4980.58
2010,BA,da Conceição,Arroz,,4816.8
2015,SP,Monteiro dos Dourados,Arroz,615.92,
2015,RS,da Costa da Prata,Cana-de-açúcar,601.08,2002.97
2000,MS,Pires da Mata,Arroz,116.39,1435.97
2008,MT,Aragão das Flores,Algodão,869.74,4715.19
2005,RS,da Rocha,Cana-de-açúcar,,
2015,GO,Aragão das Flores,Arroz,701.69,2240.82
2002,PR,Freitas da Praia,Arroz,,3800.38
2019,GO,Rocha,Soja,343.78,2479.52
2003,SC,Dias,Algodão,225.41,2178.45
